,Description,Price,Rating,ReviewCount,Url,Image src,Website_Name
0,Banana - Nendran 500 g,₹49,4.4,(9),http://www.flipkart.com/banana-nendran-500-g/p/itm615dffb421a01?pid=FRTFRTM8FJKPCBFG&lid=LSTFRTFRTM8FJKPCBFGSB85MA&marketplace=GROCERY&q=banana&store=eat%2Fw2q%2Fb0g&srno=s_1_1&otracker=search&otracker1=search&iid=708d525e-1a5b-4ccf-9899-f8a877eeefb7.FRTFRTM8FJKPCBFG.SEARCH&ssid=27s9j0xpw00000001655185159102&qH=72b302bf297a228a,https://rukminim1.flixcart.com/image/612/612/ka73y4w0/fruit/b/f/g/500-unbranded-whole-original-imafrtmsqhhh4uxr.jpeg?q=70,Flipkart
1,Banana Red 500 g,₹37,4.2,(39),http://www.flipkart.com/banana-red-500-g/p/itm9d76bbe27e376?pid=FRTFFHGPWWHDCAPS&lid=LSTFRTFFHGPWWHDCAPSZHC77C&marketplace=GROCERY&q=banana&store=eat%2Fw2q%2Fb0g&srno=s_1_2&otracker=search&otracker1=search&iid=708d525e-1a5b-4ccf-9899-f8a877eeefb7.FRTFFHGPWWHDCAPS.SEARCH&ssid=27s9j0xpw00000001655185159102&qH=72b302bf297a228a,https://rukminim1.flixcart.com/image/612/612/kt7jv680/fruit/7/d/o/1-1-un-branded-whole-original-imag6hzx6uhzyhd8.jpeg?q=70,Flipkart
2,Banana Yellaki Ready To Eat 500 g,₹31,4.3,(3),http://www.flipkart.com/banana-yellaki-ready-eat-500-g/p/itme46df36b5f1bb?pid=FRTGDUZY5BQS5GHD&lid=LSTFRTGDUZY5BQS5GHDJYVP65&marketplace=GROCERY&q=banana&store=eat%2Fw2q%2Fb0g&srno=s_1_3&otracker=search&otracker1=search&iid=708d525e-1a5b-4ccf-9899-f8a877eeefb7.FRTGDUZY5BQS5GHD.SEARCH&ssid=27s9j0xpw00000001655185159102&qH=72b302bf297a228a,https://rukminim1.flixcart.com/image/612/612/ktx9si80/fruit/i/b/j/un-branded-whole-original-imag75p2kpfhzhvm.jpeg?q=70,Flipkart
3,Banana - Yelakki 500 g,₹49,4.0,"(1,242)",http://www.flipkart.com/banana-yelakki-500-g/p/itm39446bfa664c0?pid=FRTFTAS2GPDQUTQR&lid=LSTFRTFTAS2GPDQUTQRQ6Q3W8&marketplace=GROCERY&q=banana&store=eat%2Fw2q%2Fb0g&srno=s_1_4&otracker=search&otracker1=search&iid=708d525e-1a5b-4ccf-9899-f8a877eeefb7.FRTFTAS2GPDQUTQR.SEARCH&ssid=27s9j0xpw00000001655185159102&qH=72b302bf297a228a,https://rukminim1.flixcart.com/image/612/612/ktx9si80/fruit/i/b/j/un-branded-whole-original-imag75p2kpfhzhvm.jpeg?q=70,Flipkart
4,Banana Robusta 1 kg,₹42,3.9,"(3,472)",http://www.flipkart.com/banana-robusta-1-kg/p/itm51db22e3c2899?pid=FRTFF2Q2QRZFJXHG&lid=LSTFRTFF2Q2QRZFJXHG3S8YJI&marketplace=GROCERY&q=banana&store=eat%2Fw2q%2Fb0g&srno=s_1_5&otracker=search&otracker1=search&iid=708d525e-1a5b-4ccf-9899-f8a877eeefb7.FRTFF2Q2QRZFJXHG.SEARCH&ssid=27s9j0xpw00000001655185159102&qH=72b302bf297a228a,https://rukminim1.flixcart.com/image/612/612/ktx9si80/fruit/w/j/g/un-branded-whole-original-imag75p2f9gcqg2u.jpeg?q=70,Flipkart
5,Banana Robusta 500 g,₹22,3.9,"(3,472)",http://www.flipkart.com/banana-robusta-500-g/p/itmafb767c89456b?pid=FRTFF2Q2PFGRJHAA&lid=LSTFRTFF2Q2PFGRJHAALTSLK6&marketplace=GROCERY&q=banana&store=eat%2Fw2q%2Fb0g&srno=s_1_6&otracker=search&otracker1=search&iid=708d525e-1a5b-4ccf-9899-f8a877eeefb7.FRTFF2Q2PFGRJHAA.SEARCH&ssid=27s9j0xpw00000001655185159102&qH=72b302bf297a228a,https://rukminim1.flixcart.com/image/612/612/ktx9si80/fruit/w/j/g/un-branded-whole-original-imag75p2f9gcqg2u.jpeg?q=70,Flipkart
6,Banana Karpooravalli 500 g,₹30,3.8,(11),http://www.flipkart.com/banana-karpooravalli-500-g/p/itm02017f5a1c6ee?pid=FRTFFHGPXHU7YCG7&lid=LSTFRTFFHGPXHU7YCG7XJDRRN&marketplace=GROCERY&q=banana&store=eat%2Fw2q%2Fb0g&srno=s_1_7&otracker=search&otracker1=search&iid=708d525e-1a5b-4ccf-9899-f8a877eeefb7.FRTFFHGPXHU7YCG7.SEARCH&ssid=27s9j0xpw00000001655185159102&qH=72b302bf297a228a,https://rukminim1.flixcart.com/image/612/612/kcxpbww0/fruit/c/g/7/500-un-branded-whole-original-imafty9bkn5ktnjm.jpeg?q=70,Flipkart
7,Banana Poovan 500 g,₹33,3.7,(7),http://www.flipkart.com/banana-poovan-500-g/p/itmc4fdce707965f?pid=FRTG3HWK9GV8SDD6&lid=LSTFRTG3HWK9GV8SDD6SPXRZG&marketplace=GROCERY&q=banana&store=eat%2Fw2q%2Fb0g&srno=s_1_8&otracker=search&otracker1=search&iid=708d525e-1a5b-4ccf-9899-f8a877eeefb7.FRTG3HWK9GV8SDD6.SEARCH&ssid=27s9j0xpw00000001655185159102&qH=72b302bf297a228a,https://rukminim1.flixcart.com/image/612/612/kpedle80/fruit/l/5/h/500-un-branded-whole-original-imag3n2qqnxpgbzg.jpeg?q=70,Flipkart
8,Banana - Yelakki 1 kg,₹99,4.0,"(1,242)",http://www.flipkart.com/banana-yelakki-1-kg/p/itm160fe27245af6?pid=FRTFTAS2YEXYDZRA&lid=LSTFRTFTAS2YEXYDZRAPKYXXS&marketplace=GROCERY&q=banana&store=eat%2Fw2q%2Fb0g&srno=s_1_9&otracker=search&otracker1=search&iid=708d525e-1a5b-4ccf-9899-f8a877eeefb7.FRTFTAS2YEXYDZRA.SEARCH&ssid=27s9j0xpw00000001655185159102&qH=72b302bf297a228a,https://rukminim1.flixcart.com/image/612/612/ktx9si80/fruit/i/b/j/un-branded-whole-original-imag75p2kpfhzhvm.jpeg?q=70,Flipkart
21,"Slurrp Farm Ragi Almond & Banana Cereal, 100% Natural Health Mix | Healthy Wholesome Food, 200g",₹174,4.0 out of 5 stars,"1,096",http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00216731U9J7O7EZATNO&url=%2FSlurrp-Farm-Natural-Healthy-Wholesome%2Fdp%2FB08J6VMD1W%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbanana%26qid%3D1655185166%26sr%3D8-1-spons%26psc%3D1&qualifier=1655185166&id=8988971638110936&widgetName=sp_atf,https://m.media-amazon.com/images/I/71mCf7tZA-L._AC_UL320_.jpg,Amazon
